Date,Income,Loan_disbursed,Age,Gender,Outstanding_debt,Purpose,Interest_rate,Education_level,Feedback,Promo_Campaign,Year,Quarter,Day_month,Weeknum,Month,Weekday
2011-11-19,29830,17898,39,M,73058,Home,19.1,Graduate,4,1,2011,4,19,47,Nov,Sat
2011-11-20,32000,19200,53,F,109433,Home,19.1,Graduate,4,0,2011,4,20,48,Nov,Sun
2011-11-21,33330,99990,56,F,91286,Home,19.1,Graduate,4,0,2011,4,21,48,Nov,Mon
2011-11-22,39830,119490,65,M,94289,Home,19.1,Graduate,3,1,2011,4,22,48,Nov,Tue
2011-11-23,40830,122490,32,M,49780,Home,19.1,Graduate,3,1,2011,4,23,48,Nov,Wed
2011-11-24,42210,126630,62,F,96658,Home,19.1,Graduate,4,0,2011,4,24,48,Nov,Thu
2011-11-25,42400,127200,24,F,119278,Home,19.1,Graduate,4,1,2011,4,25,48,Nov,Fri
2011-11-26,46170,138510,55,F,112304,Home,19.1,Graduate,3,1,2011,4,26,48,Nov,Sat
2011-11-27,46800,140400,46,F,54317,Home,19.1,Graduate,2,1,2011,4,27,49,Nov,Sun
2011-11-28,47210,141630,53,F,89871,Home,19.1,Graduate,3,0,2011,4,28,49,Nov,Mon
2011-11-29,47290,141870,39,M,80857,Home,19.1,Graduate,1,1,2011,4,29,49,Nov,Tue
2011-11-30,47840,143520,72,M,74086,Home,19.1,Graduate,4,0,2011,4,30,49,Nov,Wed
2011-12-01,49230,147690,65,F,79174,Home,19.1,Graduate,4,1,2011,4,1,49,Dec,Thu
2011-12-02,55550,233310,55,M,48670,Home,19.0,Graduate,1,0,2011,4,2,49,Dec,Fri
2011-12-03,55550,233310,29,F,61763,Home,19.0,Graduate,4,1,2011,4,3,49,Dec,Sat
2011-12-04,57330,240786,41,F,80051,Home,19.0,Graduate,2,0,2011,4,4,50,Dec,Sun
2011-12-05,61110,122220,31,F,99318,Home,18.9,Graduate,3,0,2011,4,5,50,Dec,Mon
2011-12-06,65560,131120,44,M,88423,Home,18.9,Graduate,5,1,2011,4,6,50,Dec,Tue
2011-12-07,65640,131280,60,M,113179,Home,18.9,Graduate,2,0,2011,4,7,50,Dec,Wed
2011-12-08,66670,133340,25,F,59645,Home,18.8,Graduate,2,1,2011,4,8,50,Dec,Thu
2011-12-09,68320,136640,74,M,97444,Home,18.8,Graduate,2,0,2011,4,9,50,Dec,Fri
2011-12-10,72230,144460,32,F,76115,Home,18.8,Graduate,3,1,2011,4,10,50,Dec,Sat
2011-12-11,83690,167380,52,M,65960,Home,18.8,Graduate,3,1,2011,4,11,51,Dec,Sun
2011-12-12,83770,167540,28,M,75692,Home,18.8,Graduate,1,1,2011,4,12,51,Dec,Mon
2011-12-13,86670,173340,69,M,80665,Home,18.8,Graduate,1,0,2011,4,13,51,Dec,Tue
2011-12-14,90430,180860,63,M,72084,Home,18.8,Graduate,3,1,2011,4,14,51,Dec,Wed
2011-12-15,138880,277760,70,M,101865,Home,18.8,Graduate,2,0,2011,4,15,51,Dec,Thu
2011-12-16,199990,399980,59,M,92435,Home,18.8,Graduate,5,1,2011,4,16,51,Dec,Fri
2011-12-17,216670,433340,31,M,54533,Home,18.8,Graduate,5,1,2011,4,17,51,Dec,Sat
2011-12-18,268880,34954.4,39,M,68835,Home,18.8,Graduate,3,1,2011,4,18,52,Dec,Sun
2011-12-19,20000,18000,29,F,99497,Home,18.8,Graduate,1,1,2011,4,19,52,Dec,Mon
2011-12-20,25550,76650,51,M,52345,Home,18.8,Graduate,2,1,2011,4,20,52,Dec,Tue
2011-12-21,28490,17094,75,F,94410,Home,18.7,Graduate,2,1,2011,4,21,52,Dec,Wed
2011-12-22,28510,17106,68,F,50441,Home,18.7,Graduate,3,1,2011,4,22,52,Dec,Thu
2011-12-23,29830,17898,39,M,57198,Home,18.6,Graduate,1,0,2011,4,23,52,Dec,Fri
2011-12-24,32000,19200,53,F,82947,Home,18.6,Graduate,4,1,2011,4,24,52,Dec,Sat
2011-12-25,33330,99990,56,F,72123,Home,18.6,Graduate,2,0,2011,4,25,53,Dec,Sun
2011-12-26,39830,119490,65,M,43772,Home,18.6,Graduate,2,0,2011,4,26,53,Dec,Mon
2011-12-27,40830,122490,32,M,78011,Home,18.6,Graduate,1,0,2011,4,27,53,Dec,Tue
2011-12-28,42210,126630,62,F,71484,Home,18.6,Graduate,1,0,2011,4,28,53,Dec,Wed
2011-12-29,42400,127200,24,F,52855,Home,18.6,Graduate,1,1,2011,4,29,53,Dec,Thu
2011-12-30,46170,138510,55,F,46093,Home,18.6,Graduate,2,0,2011,4,30,53,Dec,Fri
2011-12-31,46800,140400,46,F,49725,Home,18.6,Graduate,3,1,2011,4,31,53,Dec,Sat
2012-01-01,47210,141630,53,F,81749,Home,18.6,Graduate,5,1,2012,1,1,1,Jan,Sun
2012-01-02,47290,141870,39,M,115514,Home,18.6,Graduate,1,0,2012,1,2,1,Jan,Mon
2012-01-03,47840,143520,72,M,100174,Home,18.6,Graduate,3,0,2012,1,3,1,Jan,Tue
2012-01-04,49230,147690,65,F,108316,Home,18.6,Graduate,4,1,2012,1,4,1,Jan,Wed
2012-01-05,55550,233310,55,M,104354,Home,18.6,Graduate,4,0,2012,1,5,1,Jan,Thu
2012-01-06,55550,233310,29,F,94179,Home,18.6,Graduate,2,0,2012,1,6,1,Jan,Fri
2012-01-07,57330,240786,41,F,92056,Home,18.6,Graduate,5,1,2012,1,7,1,Jan,Sat
2012-01-08,61110,122220,31,F,114602,Home,18.5,Graduate,5,1,2012,1,8,2,Jan,Sun
2012-01-09,65560,131120,44,M,115577,Home,18.5,Graduate,3,1,2012,1,9,2,Jan,Mon
2012-01-10,65640,131280,60,M,67085,Home,18.5,Graduate,4,1,2012,1,10,2,Jan,Tue
2012-01-11,66670,133340,25,F,116563,Home,18.5,Graduate,2,0,2012,1,11,2,Jan,Wed
2012-01-12,68320,136640,74,M,43698,Home,18.5,Graduate,2,1,2012,1,12,2,Jan,Thu
2012-01-13,72230,144460,32,F,42147,Home,18.5,Graduate,3,0,2012,1,13,2,Jan,Fri
2012-01-14,83690,167380,52,M,58264,Home,18.5,Graduate,3,1,2012,1,14,2,Jan,Sat
2012-01-15,83770,167540,28,M,87330,Home,18.5,Graduate,4,1,2012,1,15,3,Jan,Sun
2012-01-16,86670,173340,69,M,46982,Home,18.5,Graduate,1,1,2012,1,16,3,Jan,Mon
2012-01-17,90430,180860,63,M,71236,Home,18.4,Graduate,4,0,2012,1,17,3,Jan,Tue
2012-01-18,138880,277760,70,M,52367,Home,18.4,Graduate,3,1,2012,1,18,3,Jan,Wed
2012-01-19,199990,399980,59,M,46557,Home,18.4,Graduate,2,1,2012,1,19,3,Jan,Thu
2012-01-20,216670,433340,31,M,108680,Home,18.4,Graduate,2,1,2012,1,20,3,Jan,Fri
2012-01-21,268880,34954.4,39,M,69883,Home,18.4,Graduate,4,1,2012,1,21,3,Jan,Sat
2012-01-22,20000,18000,29,F,103370,Home,18.4,Graduate,5,1,2012,1,22,4,Jan,Sun
2012-01-23,25550,76650,51,M,102202,Home,18.4,Graduate,5,1,2012,1,23,4,Jan,Mon
2012-01-24,28490,17094,75,F,57286,Home,18.4,Graduate,2,1,2012,1,24,4,Jan,Tue
2012-01-25,28510,17106,68,F,53181,Home,18.4,Graduate,3,0,2012,1,25,4,Jan,Wed
2012-01-26,29830,17898,39,M,108717,Home,18.4,Graduate,2,0,2012,1,26,4,Jan,Thu
2012-01-27,32000,19200,53,F,101133,Home,18.4,Graduate,3,1,2012,1,27,4,Jan,Fri
2012-01-28,33330,99990,56,F,58517,Home,18.4,Graduate,5,1,2012,1,28,4,Jan,Sat
2012-01-29,39830,119490,65,M,56202,Home,18.4,Graduate,2,0,2012,1,29,5,Jan,Sun
2012-01-30,40830,122490,32,M,117064,Home,18.4,Graduate,1,0,2012,1,30,5,Jan,Mon
2012-01-31,42210,126630,62,F,88073,Home,18.4,Graduate,4,0,2012,1,31,5,Jan,Tue
2012-02-01,42400,127200,24,F,67845,Home,18.4,Graduate,5,1,2012,1,1,5,Feb,Wed
2012-02-02,46170,138510,55,F,80680,Home,18.4,Graduate,5,1,2012,1,2,5,Feb,Thu
2012-02-03,46800,140400,46,F,54960,Home,18.4,Graduate,4,0,2012,1,3,5,Feb,Fri
2012-02-04,47210,141630,53,F,66813,Home,18.4,Graduate,2,1,2012,1,4,5,Feb,Sat
2012-02-05,47290,141870,39,M,61146,Home,18.4,Graduate,5,1,2012,1,5,6,Feb,Sun
2012-02-06,47840,143520,72,M,53902,Home,18.4,Graduate,2,0,2012,1,6,6,Feb,Mon
2012-02-07,49230,147690,65,F,117177,Home,18.4,Graduate,2,1,2012,1,7,6,Feb,Tue
2012-02-08,55550,233310,55,M,41400,Home,18.4,Graduate,1,0,2012,1,8,6,Feb,Wed
2012-02-09,55550,233310,29,F,62408,Home,18.4,Graduate,4,0,2012,1,9,6,Feb,Thu
2012-02-10,57330,240786,41,F,50988,Home,18.4,Graduate,2,1,2012,1,10,6,Feb,Fri
2012-02-11,61110,122220,31,F,106129,Home,18.4,Graduate,5,1,2012,1,11,6,Feb,Sat
2012-02-12,65560,131120,44,M,96097,Home,18.3,Graduate,5,1,2012,1,12,7,Feb,Sun
2012-02-13,65640,131280,60,M,63116,Home,18.3,Graduate,2,0,2012,1,13,7,Feb,Mon
2012-02-14,66670,133340,25,F,78228,Home,18.3,Graduate,2,0,2012,1,14,7,Feb,Tue
2012-02-15,68320,136640,74,M,87739,Home,18.3,Graduate,5,1,2012,1,15,7,Feb,Wed
2012-02-16,72230,144460,32,F,110025,Home,18.3,Graduate,2,0,2012,1,16,7,Feb,Thu
2012-02-17,83690,167380,52,M,73030,Home,18.3,Graduate,2,0,2012,1,17,7,Feb,Fri
2012-02-18,83770,167540,28,M,84017,Home,18.3,Graduate,5,1,2012,1,18,7,Feb,Sat
2012-02-19,86670,173340,69,M,75141,Home,18.3,Graduate,5,1,2012,1,19,8,Feb,Sun
2012-02-20,90430,180860,63,M,72750,Home,18.3,Graduate,5,1,2012,1,20,8,Feb,Mon
2012-02-21,138880,277760,70,M,105806,Home,18.3,Graduate,1,1,2012,1,21,8,Feb,Tue
2012-02-22,199990,399980,59,M,116546,Home,18.3,Graduate,2,1,2012,1,22,8,Feb,Wed
2012-02-23,216670,433340,31,M,83948,Home,18.3,Graduate,2,1,2012,1,23,8,Feb,Thu
2012-02-24,268880,34954.4,39,M,112917,Home,18.3,Graduate,5,1,2012,1,24,8,Feb,Fri
2012-02-25,20000,18000,29,F,74473,Home,18.3,Graduate,3,1,2012,1,25,8,Feb,Sat
2012-02-26,25550,76650,51,M,65497,Home,18.3,Graduate,4,1,2012,1,26,9,Feb,Sun
2012-02-27,28490,17094,75,F,58552,Home,18.2,Graduate,3,1,2012,1,27,9,Feb,Mon
2012-02-28,28510,17106,68,F,110422,Home,18.2,Graduate,2,0,2012,1,28,9,Feb,Tue
2012-02-29,29830,17898,39,M,89145,Home,18.2,Graduate,1,0,2012,1,29,9,Feb,Wed
2012-03-01,32000,19200,53,F,66538,Home,18.2,Graduate,3,0,2012,1,1,9,Mar,Thu
2012-03-02,33330,99990,56,F,112959,Home,18.2,Graduate,4,0,2012,1,2,9,Mar,Fri
2012-03-03,39830,119490,65,M,84049,Home,18.2,Graduate,4,1,2012,1,3,9,Mar,Sat
2012-03-04,40830,122490,32,M,89662,Home,18.2,Graduate,4,1,2012,1,4,10,Mar,Sun
2012-03-05,42210,126630,62,F,57811,Home,18.2,Graduate,1,1,2012,1,5,10,Mar,Mon
2012-03-06,42400,127200,24,F,73526,Home,18.2,Graduate,1,0,2012,1,6,10,Mar,Tue
2012-03-07,46170,138510,55,F,56053,Home,18.1,Graduate,3,0,2012,1,7,10,Mar,Wed
2012-03-08,46800,140400,46,F,78408,Home,18.1,Graduate,3,1,2012,1,8,10,Mar,Thu
2012-03-09,47210,141630,53,F,102885,Home,18.1,Graduate,5,0,2012,1,9,10,Mar,Fri
2012-03-10,47290,141870,39,M,67118,Home,18.1,Graduate,5,1,2012,1,10,10,Mar,Sat
2012-03-11,47840,143520,72,M,115322,Home,18.1,Graduate,3,1,2012,1,11,11,Mar,Sun
2012-03-12,49230,147690,65,F,72304,Home,18.1,Graduate,1,0,2012,1,12,11,Mar,Mon
2012-03-13,55550,233310,55,M,109534,Home,18.1,Graduate,1,1,2012,1,13,11,Mar,Tue
2012-03-14,55550,233310,29,F,90658,Home,18.1,Graduate,5,1,2012,1,14,11,Mar,Wed
2012-03-15,57330,240786,41,F,118587,Home,18.1,Graduate,2,1,2012,1,15,11,Mar,Thu
2012-03-16,61110,122220,31,F,99630,Home,18.1,Graduate,4,1,2012,1,16,11,Mar,Fri
2012-03-17,65560,131120,44,M,94050,Home,18.1,Graduate,4,1,2012,1,17,11,Mar,Sat
2012-03-18,65640,131280,60,M,74401,Home,18.0,Graduate,2,1,2012,1,18,12,Mar,Sun
2012-03-19,66670,133340,25,F,106465,Home,18.0,Graduate,3,1,2012,1,19,12,Mar,Mon
2012-03-20,68320,136640,74,M,83328,Home,18.0,Graduate,2,1,2012,1,20,12,Mar,Tue
2012-03-21,72230,144460,32,F,112481,Home,18.0,Graduate,3,0,2012,1,21,12,Mar,Wed
2012-03-22,83690,167380,52,M,95310,Home,18.0,Graduate,3,1,2012,1,22,12,Mar,Thu
2012-03-23,83770,167540,28,M,86203,Home,18.0,Graduate,3,0,2012,1,23,12,Mar,Fri
2012-03-24,86670,173340,69,M,73172,Home,18.0,Graduate,4,1,2012,1,24,12,Mar,Sat
2012-03-25,90430,180860,63,M,116115,Home,18.0,Graduate,3,1,2012,1,25,13,Mar,Sun
2012-03-26,138880,277760,70,M,94883,Home,18.0,Graduate,3,0,2012,1,26,13,Mar,Mon
2012-03-27,199990,399980,59,M,104957,Home,18.0,Graduate,4,1,2012,1,27,13,Mar,Tue
2012-03-28,216670,433340,31,M,108297,Home,18.0,Graduate,4,1,2012,1,28,13,Mar,Wed
2012-03-29,268880,34954.4,39,M,93409,Home,18.0,Graduate,5,1,2012,1,29,13,Mar,Thu
2012-03-30,19230,17307,25,M,93021,Travel,15.1,Graduate,3,1,2012,1,30,13,Mar,Fri
2012-03-31,25430,76290,50,F,100255,Personal,15.1,Graduate,4,1,2012,1,31,13,Mar,Sat
2012-04-01,26670,16002,23,M,57564,Others,15.1,Graduate,4,1,2012,2,1,14,Apr,Sun
2012-04-02,28870,17322,35,F,94113,Travel,15.1,Graduate,4,1,2012,2,2,14,Apr,Mon
2012-04-03,29510,17706,72,F,68154,Personal,15.1,Graduate,3,1,2012,2,3,14,Apr,Tue
2012-04-04,31280,18768,52,M,56477,Personal,15.1,Graduate,3,0,2012,2,4,14,Apr,Wed
2012-04-05,34000,102000,38,M,95518,Education,15.1,Graduate,2,1,2012,2,5,14,Apr,Thu
2012-04-06,34440,103320,55,M,100420,Personal,15.1,Graduate,5,0,2012,2,6,14,Apr,Fri
2012-04-07,35720,107160,71,M,77072,Personal,15.1,Graduate,4,1,2012,2,7,14,Apr,Sat
2012-04-08,36230,108690,32,M,43507,Travel,15.1,Graduate,3,1,2012,2,8,15,Apr,Sun
2012-04-09,36730,110190,29,M,85311,Others,15.1,Graduate,3,0,2012,2,9,15,Apr,Mon
2012-04-10,39030,117090,67,M,79289,Personal,15.1,Graduate,5,0,2012,2,10,15,Apr,Tue
2012-04-11,42520,127560,45,M,100717,Education,15.1,Graduate,2,0,2012,2,11,15,Apr,Wed
2012-04-12,44770,134310,61,M,64983,Travel,15.1,Graduate,2,1,2012,2,12,15,Apr,Thu
2012-04-13,45330,135990,29,F,45910,Others,15.1,Graduate,4,1,2012,2,13,15,Apr,Fri
2012-04-14,47970,143910,69,M,41368,Travel,15.1,Graduate,5,1,2012,2,14,15,Apr,Sat
2012-04-15,48270,144810,69,M,100303,Personal,15.1,Graduate,2,0,2012,2,15,16,Apr,Sun
2012-04-16,49210,147630,55,M,80358,Personal,15.1,Graduate,4,1,2012,2,16,16,Apr,Mon
2012-04-17,49970,149910,26,M,52629,Travel,15.1,Graduate,2,0,2012,2,17,16,Apr,Tue
2012-04-18,51110,153330,60,M,44860,Personal,15.1,Graduate,3,1,2012,2,18,16,Apr,Wed
2012-04-19,51560,154680,30,F,56506,Others,15.1,Graduate,4,0,2012,2,19,16,Apr,Thu
2012-04-20,52030,218526,72,M,93858,Personal,15.1,Graduate,2,0,2012,2,20,16,Apr,Fri
2012-04-21,53000,222600,55,M,63732,Personal,15.1,Graduate,4,1,2012,2,21,16,Apr,Sat
2012-04-22,58000,116000,56,F,70362,Personal,15.1,Graduate,5,1,2012,2,22,17,Apr,Sun
2012-04-23,58770,117540,74,F,42003,Personal,15.1,Graduate,2,1,2012,2,23,17,Apr,Mon
2012-04-24,61410,122820,49,F,84977,Others,15.1,Graduate,5,0,2012,2,24,17,Apr,Tue
2012-04-25,62760,125520,62,M,66060,Personal,15.1,Graduate,3,1,2012,2,25,17,Apr,Wed
2012-04-26,65130,130260,25,M,59488,Travel,15.1,Graduate,2,1,2012,2,26,17,Apr,Thu
2012-04-27,69210,138420,55,F,71561,Personal,15.1,Graduate,4,1,2012,2,27,17,Apr,Fri
2012-04-28,77330,154660,49,M,84678,Education,15.1,Graduate,5,1,2012,2,28,17,Apr,Sat
2012-04-29,82880,165760,54,M,69499,Others,15.1,Graduate,5,1,2012,2,29,18,Apr,Sun
2012-04-30,90440,180880,35,M,94111,Travel,15.1,Graduate,2,0,2012,2,30,18,Apr,Mon
2012-05-01,97770,195540,29,M,116839,Others,15.1,Graduate,4,0,2012,2,1,18,May,Tue
2012-05-02,230170,460340,39,F,75435,Education,15.1,Graduate,5,1,2012,2,2,18,May,Wed
2012-05-03,242200,466660,50,F,103987,Education,15.1,Graduate,3,1,2012,2,3,18,May,Thu
2012-05-04,19230,17307,25,M,114062,Travel,15.1,Graduate,2,1,2012,2,4,18,May,Fri
2012-05-05,25430,76290,50,F,116047,Personal,15.1,Graduate,3,1,2012,2,5,18,May,Sat
2012-05-06,26670,16002,23,M,92636,Others,15.1,Graduate,2,1,2012,2,6,19,May,Sun
2012-05-07,28870,17322,35,F,85717,Travel,15.1,Graduate,2,0,2012,2,7,19,May,Mon
2012-05-08,29510,17706,72,F,76829,Personal,15.1,Graduate,5,0,2012,2,8,19,May,Tue
2012-05-09,31280,18768,52,M,103084,Personal,15.1,Graduate,1,0,2012,2,9,19,May,Wed
2012-05-10,34000,102000,38,M,101373,Education,15.1,Graduate,5,1,2012,2,10,19,May,Thu
2012-05-11,34440,103320,55,M,100199,Personal,15.1,Graduate,4,1,2012,2,11,19,May,Fri
2012-05-12,35720,107160,71,M,115994,Personal,15.1,Graduate,5,1,2012,2,12,19,May,Sat
2012-05-13,36230,108690,32,M,88129,Travel,15.1,Graduate,2,1,2012,2,13,20,May,Sun
2012-05-14,36730,110190,29,M,62010,Others,15.1,Graduate,4,0,2012,2,14,20,May,Mon
2012-05-15,39030,117090,67,M,117888,Personal,15.1,Graduate,1,1,2012,2,15,20,May,Tue
2012-05-16,42520,127560,45,M,87208,Education,15.1,Graduate,2,1,2012,2,16,20,May,Wed
2012-05-17,44770,134310,61,M,88148,Travel,15.1,Graduate,3,1,2012,2,17,20,May,Thu
2012-05-18,45330,135990,29,F,60948,Others,15.1,Graduate,3,1,2012,2,18,20,May,Fri
2012-05-19,47970,143910,69,M,70644,Travel,15.1,Graduate,4,0,2012,2,19,20,May,Sat
2012-05-20,48270,144810,69,M,81315,Personal,15.1,Graduate,5,1,2012,2,20,21,May,Sun
2012-05-21,49210,147630,55,M,118961,Personal,15.1,Graduate,5,1,2012,2,21,21,May,Mon
2012-05-22,49970,149910,26,M,90972,Travel,15.1,Graduate,2,1,2012,2,22,21,May,Tue
2012-05-23,51110,153330,60,M,85820,Personal,15.1,Graduate,2,0,2012,2,23,21,May,Wed
2012-05-24,51560,154680,30,F,100076,Others,15.1,Graduate,3,0,2012,2,24,21,May,Thu
2012-05-25,52030,218526,72,M,108296,Personal,15.1,Graduate,1,1,2012,2,25,21,May,Fri
2012-05-26,53000,222600,55,M,62333,Personal,15.1,Graduate,5,1,2012,2,26,21,May,Sat
2012-05-27,58000,116000,56,F,75540,Personal,15.0,Graduate,3,1,2012,2,27,22,May,Sun
2012-05-28,58770,117540,74,F,63525,Personal,15.0,Graduate,2,1,2012,2,28,22,May,Mon
2012-05-29,61410,122820,49,F,111389,Others,15.0,Graduate,2,1,2012,2,29,22,May,Tue
2012-05-30,62760,125520,62,M,72098,Personal,15.0,Graduate,2,0,2012,2,30,22,May,Wed
2012-05-31,65130,130260,25,M,42705,Travel,15.0,Graduate,4,1,2012,2,31,22,May,Thu
2012-06-01,69210,138420,55,F,46491,Personal,15.0,Graduate,3,1,2012,2,1,22,Jun,Fri
2012-06-02,77330,154660,49,M,67259,Education,15.0,Graduate,5,1,2012,2,2,22,Jun,Sat
2012-06-03,82880,165760,54,M,50113,Others,15.0,Graduate,5,1,2012,2,3,23,Jun,Sun
2012-06-04,90440,180880,35,M,118444,Travel,15.0,Graduate,2,1,2012,2,4,23,Jun,Mon
2012-06-05,97770,195540,29,M,50016,Others,15.0,Graduate,2,1,2012,2,5,23,Jun,Tue
2012-06-06,230170,460340,39,F,61650,Education,15.0,Graduate,3,1,2012,2,6,23,Jun,Wed
2012-06-07,242200,466660,50,F,111548,Education,15.0,Graduate,2,0,2012,2,7,23,Jun,Thu
2012-06-08,19230,17307,25,M,86557,Travel,15.0,Graduate,3,1,2012,2,8,23,Jun,Fri
2012-06-09,25430,76290,50,F,58382,Personal,15.0,Graduate,4,0,2012,2,9,23,Jun,Sat
2012-06-10,26670,16002,23,M,40922,Others,15.0,Graduate,5,1,2012,2,10,24,Jun,Sun
2012-06-11,28870,17322,35,F,82671,Travel,15.0,Graduate,3,0,2012,2,11,24,Jun,Mon
2012-06-12,29510,17706,72,F,108319,Personal,15.0,Graduate,2,0,2012,2,12,24,Jun,Tue
2012-06-13,31280,18768,52,M,46929,Personal,15.0,Graduate,2,0,2012,2,13,24,Jun,Wed
2012-06-14,34000,102000,38,M,76908,Education,15.0,Graduate,1,0,2012,2,14,24,Jun,Thu
2012-06-15,34440,103320,55,M,61959,Personal,15.0,Graduate,1,1,2012,2,15,24,Jun,Fri
2012-06-16,35720,107160,71,M,46137,Personal,15.0,Graduate,2,1,2012,2,16,24,Jun,Sat
2012-06-17,36230,108690,32,M,112258,Travel,15.0,Graduate,2,0,2012,2,17,25,Jun,Sun
2012-06-18,36730,110190,29,M,103382,Others,15.0,Graduate,2,1,2012,2,18,25,Jun,Mon
2012-06-19,39030,117090,67,M,109219,Personal,15.0,Graduate,2,1,2012,2,19,25,Jun,Tue
2012-06-20,42520,127560,45,M,85268,Education,15.0,Graduate,5,1,2012,2,20,25,Jun,Wed
2012-06-21,44770,134310,61,M,87997,Travel,15.0,Graduate,2,1,2012,2,21,25,Jun,Thu
2012-06-22,45330,135990,29,F,86039,Others,15.0,Graduate,5,1,2012,2,22,25,Jun,Fri
2012-06-23,47970,143910,69,M,92646,Travel,15.0,Graduate,4,1,2012,2,23,25,Jun,Sat
2012-06-24,48270,144810,69,M,54208,Personal,15.0,Graduate,2,1,2012,2,24,26,Jun,Sun
2012-06-25,49210,147630,55,M,106208,Personal,15.0,Graduate,2,1,2012,2,25,26,Jun,Mon
2012-06-26,49970,149910,26,M,108937,Travel,15.0,Graduate,2,1,2012,2,26,26,Jun,Tue
2012-06-27,51110,153330,60,M,74313,Personal,15.0,Graduate,4,0,2012,2,27,26,Jun,Wed
2012-06-28,51560,154680,30,F,107782,Others,15.0,Graduate,5,1,2012,2,28,26,Jun,Thu
2012-06-29,52030,218526,72,M,66632,Personal,15.0,Graduate,5,0,2012,2,29,26,Jun,Fri
